home_team_enc,away_team_enc,home_wins_last3y,home_draws_last3y,home_losses_last3y,home_goals_for_last3y,home_goals_against_last3y,away_wins_last3y,away_draws_last3y,away_losses_last3y,away_goals_for_last3y,away_goals_against_last3y,home_h2h_winrate,result,date,home_team,away_team,result_enc
27,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,D,2012-05-19,PALMEIRAS,PORTUGUESA,1
34,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,D,2012-05-19,SPORT RECIFE,FLAMENGO RJ,1
16,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,H,2012-05-20,FIGUEIRENSE,NAUTICO,2
6,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,H,2012-05-20,BOTAFOGO RJ,SAO PAULO,2
10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,A,2012-05-20,CORINTHIANS,FLUMINENSE,0
22,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,H,2012-05-20,INTERNACIONAL,CORITIBA,2
29,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,A,2012-05-20,PONTE PRETA,ATLETICO-MG,0
5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,D,2012-05-20,BAHIA,SANTOS,1
13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,D,2012-05-20,CRUZEIRO,ATLETICO GO,1
35,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,H,2012-05-20,VASCO DA GAMA,GREMIO,2
2,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,D,2012-05-26,ATLETICO GO,PONTE PRETA,1
17,22,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,D,2012-05-26,FLAMENGO RJ,INTERNACIONAL,1
30,35,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.5,A,2012-05-26,PORTUGUESA,VASCO DA GAMA,0
26,13,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.5,D,2012-05-27,NAUTICO,CRUZEIRO,1
3,10,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,H,2012-05-27,ATLETICO-MG,CORINTHIANS,2
11,6,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,0.5,A,2012-05-27,CORITIBA,BOTAFOGO RJ,0
32,34,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,D,2012-05-27,SANTOS,SPORT RECIFE,1
33,5,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.5,H,2012-05-27,SAO PAULO,BAHIA,2
18,16,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.5,D,2012-05-27,FLUMINENSE,FIGUEIRENSE,1
21,27,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.5,H,2012-05-27,GREMIO,PALMEIRAS,2
2,21,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,A,2012-06-06,ATLETICO GO,GREMIO,0
34,27,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,H,2012-06-06,SPORT RECIFE,PALMEIRAS,2
3,5,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,D,2012-06-07,ATLETICO-MG,BAHIA,1
11,30,0.0,0.0,2.0,2.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,H,2012-06-07,CORITIBA,PORTUGUESA,2
35,26,2.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.5,H,2012-06-07,VASCO DA GAMA,NAUTICO,2
22,33,1.0,1.0,0.0,5.0,3.0,1.0,0.0,1.0,3.0,4.0,0.5,H,2012-06-07,INTERNACIONAL,SAO PAULO,2
29,17,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,4.0,0.0,D,2012-06-07,PONTE PRETA,FLAMENGO RJ,1
